,Unnamed: 0,Unnamed: 0.1,Community,Province,Island,Postal_Code,Locality,Locality_Website,Name,Alternative_Name_1,Alternative_Name_2,Descripci,Beach_Length_m,Beach_Width_m,Popularity,Urbanization,Sea_Promenade,Type_of_Sea_Promenade,Type_of_Sand,Condition,Nudism,Blue_Flag,Reachable_by_bus,Bus_Stop,Parking,Parking_Watched,Parking_Spaces,Toilets,Footbaths,Showers,Public_Telephones,Trashcans,Child_Zone,Sport_Zone,Yacht_Club,Surfing_Zone,Sport_Harbour,Sport_Harbour_Website,Distance_to_Harbour_km,Hospital,Phone_Number,Distance_to_Hospital_km,Ground_Type,lon,lat,bathingWaterIdentifier,quality2019,rating,google_place_id
0,0,0,Andalucía,Málaga, ,29069,Marbella,http://www.marbella.es,La Venus, , ,"Playa situada en el casco urbano de Marbella, junto al río Represa. Presenta buenos servicios y alta ocupación. Una zona de la misma presenta fondo rocoso.",650,35,High,Urban,Yes, ,Golden,Aguas tranquilas,No,No,Yes,Urbano,Yes,No,More than 100 places,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Puerto Deportivo de Marbella, ,0,Hospital Costa del Sol de Marbella,951976669,6,Sand,-4.8867,36.5066,ES617M0691547,Excellent,4.0,ChIJhZ_XbPkncw0RSle6ZbtrXVw
1,1,1,Andalucía,Málaga, ,29069,Marbella,http://www.marbella.es,Las Cañas, , ,"Estrecha franja de arena, entre los arroyos Las Cañas y Artola, de apenas 6 m. de ancho (incluso con zonas sin playa seca) y 1 Km. de largo.",1.100,6,Medium,Urban,No, ,Dark,Oleaje moderado,No,No,Yes, Interurbano a 1 Km.,Yes,,,Yes,,Yes,No,Yes,No,No,No,No,Puerto Deportivo Cabo Pino,http://www.andalucia.org/es/turismo-y-deporte/malaga/puerto-deportivo-de-cabopino/,"1,5",Hospital Costa del Sol de Marbella,951976669,7,Sand / Gravel,-4.7601,36.4865,ES617M0691546,Excellent,4.5,ChIJk_Mn4lsgcw0RbWDJ6imc8WQ
2,2,2,Andalucía,Málaga, ,29070,Mijas,http://www.mijas.es,Calahonda,"Royal Beach, Alhamar, Alcasur, Riviera, Rocas del Mar", ,"Franja costera situada en el parte oeste del término municipal. Se trata de un estrecho y sinuoso borde litoral de arena y rocas, en una zona muy urbanizada al sur de la CN-340, que incluye calas diferenciadas.",3.500,De 5 a 30,Medium,Urban,Yes,Boardwalk,Medium grain / Light colored,Aguas tranquilas,No,Yes,Yes,Interurbano,Yes,,,Yes,Yes,Yes,No,Yes,No,No,No,No,Puerto Cabopino,http://www.andalucia.org/es/turismo-y-deporte/malaga/puerto-deportivo-de-cabopino/,2,Hospital Costa del Sol de Marbella,951976669,10,Sand / Rock / Gravel,-4.7112,36.4877,ES617M0702301,Excellent,,
3,3,3,Andalucía,Málaga, ,29070,Mijas,http://www.mijas.es,El Charcón, , ,Playa con zonas de fondo rocoso situada en una zona poco urbanizada al este del término municipal.,800,15,Low,Semi-Urban,No, ,Grayish,Aguas tranquilas,Parcial,No,Yes,Interurbano,Yes,,,No,Yes,Yes,No,Yes,No,No,No,No,Puerto de Fuengirola,http://www.puertodeportivofuengirola.es/,"4,5",Hospital Costa del Sol de Marbella,951976669,18,Sand / Rock,-4.6456,36.5072,ES617M0701558,Excellent,,
4,4,4,Comunitat Valenciana,Alicante/Alacant, ,3018,Altea,http://www.altea.es,L'Espigó, , ,"Céntrica playa de reciente inauguración, de aguas tranquilas por los espigones que la protegen.",600,25,High,Urban,Yes,Complete, ,Aguas tranquilas,No,Yes,Yes,Urbano,Yes,No,More than 100 places,Yes,Yes,No,Yes,Yes,No,No,No,No,Puerto de Altea y Club Náutico,http://www.cyberaltura.com/web_cnaltea/index/index.php,"0,2",Hospital de Levante,966878787,11,Pebbles / Gravel,-0.0447,38.6024,ES521M0182585,Excellent,4.1,ChIJ6RVNHDEBYg0R-5CQT7zgRdg
5,5,5,Galicia,Pontevedra, ,36008,Cangas,http://www.cangas.org,Canabal, , ,Situada en el mismo límite de los términos de Cangas y Moaña.,350,De 5 a 10,Medium,Semi-Urban,No, ,White,Aguas tranquilas,No,No,Yes,Interurbano (Pontevedra - Cangas a 1 Km),No,,,No,No,Yes,No,Yes,No,No,No,No,Real Club Náutico Rodeira (Cangas),http://www.nauticorodeira.com,2,Hospital Xeral-Cíes,986816000,21,Sand,-8.7606,42.2618,ES114M0292131,Excellent,,
6,6,6,Andalucía,Huelva, ,21042,Isla Cristina,http://www.islacristina.es,Urbasur, , ,Playa bordeada por un bosque de pinos próxima a la urbanización URBASUR,1.100,70,Medium,Semi-Urban,No, ,White,Oleaje moderado,No,No,Yes,Urbano,Yes,Yes,More than 100 places,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Puerto de Isla Cristina,http://www.puertosdeandalucia.es/es/puertos/puertos-de-huelva/itemlist/category/76-puerto-de-isla-cristina,6,Hospital Infanta Elena,959015100,50,Sand,-7.2478,37.2034,ES615M0421481,Excellent,,
7,7,7,Galicia,Pontevedra, ,36006,Cambados,http://www.cambados.es,Santo Tomé, , ,Pequeña playa ubicada en el núcleo urbano de Cambados,115,27,Medium,Urban,Yes, ,Dark,Aguas tranquilas,No,No,Yes,Interurbano (Vilagarcia - Cambados),Yes,No,Between 50 and 100 parking places,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Marina Vilagarcía (V. de Arousa),http://www.marinavilagarcia.com,12,Hospital do Salnés,986568002,12,Sand,-8.8169,42.5095,ES114M006301,Excellent,,
8,8,8,Andalucía,Almería, ,4013,Almería,http://www.aytoalmeria.es,Las Amoladeras, , ,"Esta playa se localiza dentro de los límites del Parque Natural del Cabo de Gata-Níjar, por lo que se encuentra protegida. Recientemente ha sido declarado Reserva de la Biosfera. En el extremo próximo a Torre García se encuentran los restos romanos d",3.750,100,Low,Isolated,No, ,Dark,Oleaje moderado / Ventosa,No,No,Yes,Interurbano,No,,,No,No,No,No,No,No,No,No,No,Club de Mar de Almería,http://clubdemaralmeria.es,17,Hospital de Alta Resolución El Toyo,950158015,9,Sand / Gravel,-2.2783,36.8116,ES611M0131274,Excellent,4.4,ChIJ-0rQ2vKQeg0RVx19kpTkXL0
9,9,9,Andalucía,Almería, ,4013,Almería,http://www.aytoalmeria.es,Las Olas, , ,Playa carente de interés por el estado de su entorno natural algo deficiente.,250,25,Low,Semi-Urban,No, ,Dark,Aguas tranquilas,No,No,No, ,Yes,No,Less than 50 parking places,No,No,No,No,Yes,No,No,No,No,Club de Mar de Almería,http://clubdemaralmeria.es,2,Hospital de Torrecárdenas,950016000,6,Sand / Gravel,-2.4878,36.8315,ES611M0131287,Good,3.9,ChIJ4_U1Km52cA0Rb1a0qJjenm4
10,10,10,Andalucía,Almería, ,4013,Almería,http://www.aytoalmeria.es,Las Salinas de Cabo de Gata, , ,"Playa con una excelente arena, localizada muy cerca de una zona de marismas por lo que alberga gran cantidad de aves muy interesantes. Pertenece al Parque Natural Marítimo Terrestre de Cabo de Gata-Níjar, recientemente declarado Reserva de la Biosfera.",2.500,95,Medium,Isolated,No, ,White,Oleaje moderado / Ventosa,No,No,Yes,Interurbano,Yes,No,More than 100 places,No,No,No,No,Yes,No,No,No,No,Club Náutico de San José,http://www.clubnauticodesanjose.com,24,Hospital de Alta Resolución El Toyo,950158015,15,Sand,-2.2316,36.7659,ES611M0131288,Good,,
11,11,11,Andalucía,Almería, ,4013,Almería,http://www.aytoalmeria.es,Nueva Almería, , ,"Esta playa se encuentra unida a la Playa de San Miguel, y comparte todos sus servicios, instalaciones y ofertas de ocio.",1.500,45,High,Urban,Yes,Complete,Dark,Aguas tranquilas,No,Yes,Yes,Urbano,Yes,No,More than 100 places,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Club de Mar de Almería,http://clubdemaralmeria.es,"2,5",Hospital de Torrecárdenas,950016000,5,Sand,-2.4373,36.8173,ES611M0131289,Good,,
12,12,12,Andalucía,Almería, ,4013,Almería,http://www.aytoalmeria.es,Retamar, , ,"La Playa de Retamar toma su nombre de una urbanización cercana, y cuenta con los equipamientos propios de una playa preparada para el turismo.",1.250,45,High,Urban,Yes,Complete,Dark,Oleaje moderado / Ventosa,No,No,Yes,Urbano,Yes,No,More than 100 places,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Club de Mar de Almería,http://clubdemaralmeria.es,15,Hospital de Alta Resolución El Toyo,950158015,3,Sand / Gravel,-2.3147,36.8318,ES611M0131275,Not classified,4.1,ChIJNVL_1Raaeg0RyrliJzdzVns
13,13,13,Andalucía,Almería, ,4013,Almería,http://www.aytoalmeria.es,Zapillo,Las Conchas, ,"Playa urbana que presenta un elevado grado de ocupación y dotada de infraestructuras, servicios y ofertas de ocio muy atractivas para el turismo.",1.550,40,High,Urban,Yes,Complete,Dark,Aguas tranquilas,No,No,Yes,Urbano,Yes,No,More than 100 places,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Club de Mar de Almería,http://clubdemaralmeria.es,0,Hospital de Torrecárdenas,950016000,4,Sand,-2.4496,36.8256,ES611M0131281,Not classified,,
14,14,14,Andalucía,Almería, ,4013,Almería,http://www.aytoalmeria.es,San Miguel de Cabo de Gata, , ,Playa tranquila de excelente calidad con buenos servicios y entorno natural privilegiado. Pertenece al Parque Natural Marítimo Terrestre de Cabo de Gata-Níjar. Declarada Reserva de la Biosfera.,2.500,90,High,Urban,Yes,Complete,Dark,Oleaje moderado / Ventosa,No,Yes,Yes,Interurbano,Yes,No,More than 100 places,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Club Náutico de San José,http://www.clubnauticodesanjose.com,22,Hospital de Alta Resolución El Toyo,950158015,14,Sand,-2.2454,36.7802,ES611M0131288,Excellent,,
15,15,15,Andalucía,Almería, ,4013,Almería,http://www.aytoalmeria.es,San Telmo, , ,Playa de difícil acceso por un terraplén pronunciado algo peligroso que carece de cualquier tipo de servicio.,100,20,Low,Isolated,No, ,Dark,Aguas tranquilas,No,No,No, ,No,,,No,No,No,No,No,No,No,No,No,Club de Mar de Almería,http://clubdemaralmeria.es,3,Hospital de Torrecárdenas,950016000,5,Sand / Gravel,-2.4942,36.8286,ES611M0131284,Good,,
16,16,16,Andalucía,Almería, ,4013,Almería,http://www.aytoalmeria.es,Torregarcía, , ,"Esta playa debe su nombre al Santuario Torre García, situado en la misma playa, y está ubicada en el límite sur del Parque Natural del Cabo de Gata-Níjar. Pertenece al Parque Natural Marítimo Terrestre de Cabo de Gata-Níjar, recientemente declarado",1.800,90,Low,Isolated,No, ,Dark,Oleaje moderado / Ventosa,No,No,Yes,Interurbano,Yes,No,More than 100 places,No,No,No,No,Yes,No,No,No,No,Club de Mar de Almería,http://clubdemaralmeria.es,15,Hospital de Alta Resolución El Toyo,950158015,4,Sand / Gravel,-2.3,36.8249,ES611M0131274,Excellent,4.4,ChIJU1UFCguaeg0RNeVeEKusmdY
17,17,17,Andalucía,Almería, ,4904,Balanegra,http://www.balanegra.es,Balanegra, , ,Se encuentra ubicada en una zona semiurbana donde abundan los invernaderos de plásticos.,2.600,50,Medium,Semi-Urban,Yes,Partial,Dark,Oleaje moderado / Ventosa,No,Yes,Yes,Interurbano,Yes,No,More than 100 places,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Puertos Deportivos de Adra y Almerimar, ,10,Hospital de Poniente,950022500,12,Sand / Gravel,-2.9087,36.7445,ES611M0291293,Excellent,,
18,18,18,Andalucía,Almería, ,4032,Carboneras,http://www.carboneras.es,El Algarrobico, , ,"Playa aislada en estado casi virgen donde se puede disfrutar de aguas cristalinas y una gran tranquilidad. Perteneciente al Parque Natural Marítimo Terrestre Cabo de Gata-Níjar, recientemente declarado Reserva de la Biosfera.",1.350,37,Low,Isolated,No, ,Golden,Aguas tranquilas,No,No,Yes,Interurbano,Yes,No,Between 50 and 100 parking places,No,No,No,No,Yes,No,No,No,No,Club Náutico Isla de San Andrés (Carboneras ),http://www.clubnauticocarboneras.com,4,Hospital de Alta Resolución El Toyo,950158015,50,Sand / Gravel,-1.8768,37.0337,ES611M0321297,Excellent,4.1,ChIJR1-pJi3Zeg0R11I-I5MpdbY
